Annee;Appareil;Commandes;Impressions;Clics;Cout;PM;CA;Reseaurechercher;Mois
2016;Ordinateurs;515;893200;17831;3826;0;515;43,64 %;septembre
2017;Ordinateurs;510;904324;14203;2813;0;510;41,89 %;juillet
2017;Ordinateurs;500;1115636;20140;3789;0;500;44,40 %;avril
2017;Ordinateurs;488;1050602;16944;3333;0;488;45,34 %;juin
2016;Ordinateurs;472;675211;15087;3253;0;472;36,37 %;aout
2017;Ordinateurs;459;1027513;19032;3897;0;459;42,80 %;mars
2017;Ordinateurs;455;1138380;18841;3644;0;455;44,79 %;mai
2016;Ordinateurs;427;613278;13969;3027;0;427;34,42 %;juillet
2016;Ordinateurs;423;619057;14250;3089;0;423;35,88 %;juin
2017;Téléphones mobiles;373;970374;21441;2516;0;373;14,80 %;juillet
2017;Téléphones mobiles;372;1361487;28479;3192;0;372;14,86 %;mai
2017;Téléphones mobiles;371;1213252;25980;2983;0;371;20,19 %;juin
2018;Ordinateurs;362;889230;11597;4322;0;25353;52,65 %;avril
2016;Ordinateurs;360;963838;16727;3631;0;360;51,52 %;octobre
2017;Téléphones mobiles;356;1142435;25939;2958;0;356;17,64 %;avril
2017;Ordinateurs;332;790085;10434;2119;0;375;43,64 %;aout
2017;Ordinateurs;325;801201;10364;2140;0;1196;44,43 %;septembre
2016;Ordinateurs;320;819563;13792;2955;0;320;50,31 %;novembre
2018;Ordinateurs;318;700660;9079;4041;0;21890;52,95 %;mai
2016;Ordinateurs;312;626548;14853;3261;0;312;37,35 %;mai
2018;Ordinateurs;308;848758;10198;3875;0;19269;57,66 %;juin
2017;Ordinateurs;299;734767;12230;2627;0;299;48,71 %;janvier
2018;Téléphones mobiles;285;1074742;17512;3379;0;18237;31,97 %;avril
2017;Téléphones mobiles;284;945545;21644;2721;0;284;20,97 %;mars
2018;Téléphones mobiles;274;940176;16228;3596;0;16415;30,40 %;mai
2018;Téléphones mobiles;274;1068381;17507;3337;0;19732;33,89 %;juin
2017;Téléphones mobiles;265;838737;15717;1885;0;266;15,27 %;aout
2017;Ordinateurs;265;658242;11834;2572;0;265;44,98 %;fevrier
2017;Ordinateurs;265;729247;9853;2151;0;2686;42,11 %;octobre
2016;Ordinateurs;259;518987;12936;2777;0;259;36,50 %;avril
2016;Ordinateurs;247;496243;12376;2615;0;247;41,48 %;mars
2016;Téléphones mobiles;241;557439;10681;1368;0;241;19,87 %;aout
2017;Téléphones mobiles;224;680318;13519;1675;0;306;12,79 %;septembre
2016;Téléphones mobiles;220;657948;12985;1612;0;220;23,01 %;septembre
2018;Ordinateurs;218;542582;5917;2024;0;13938;55,35 %;juillet
2018;Ordinateurs;217;693168;9107;1982;0;14006;46,26 %;avril
2017;Téléphones mobiles;217;647246;13984;1905;0;1709;12,58 %;octobre
2018;Téléphones mobiles;206;765404;10796;1913;0;12463;31,05 %;juillet
